freq                    ,Gain                    ,Phase                   
5011.872336,7.600822624,-130.5533872
5128.61384,7.229646173,-130.1854632
5248.074602,6.863379745,-129.8039469
5370.317964,6.501897189,-129.4098227
5495.408739,6.14507846,-129.0040285
5623.413252,5.792809008,-128.5874596
5754.399373,5.444979213,-128.1609727
5888.436554,5.101483868,-127.7253888
6025.595861,4.762221713,-127.2814956
6165.950019,4.427095001,-126.8300504
6309.573445,4.096009115,-126.3717814
6456.54229,3.76887222,-125.9073893
6606.93448,3.445594943,-125.4375494
6760.829754,3.126090103,-124.9629117
6918.309709,2.810272453,-124.4841027
7079.457844,2.498058469,-124.0017258
7244.359601,2.189366156,-123.5163619
7413.102413,1.884114883,-123.0285705
7585.77575,1.582225241,-122.5388893
7762.471166,1.283618928,-122.0478354
7943.282347,0.988218642,-121.5559052
8128.305162,0.69594801,-121.0635747
8317.637711,0.406731517,-120.5713002
8511.380382,0.120494462,-120.0795178
8709.6359,-0.162837077,-119.5886444
8912.509381,-0.443336267,-119.0990774
9120.108394,-0.721075531,-118.6111951
9332.543008,-0.996126547,-118.1253572
9549.92586,-1.268560246,-117.6419044
9772.37221,-1.538446795,-117.1611596
10000,-1.805855583,-116.6834271
10232.92992,-2.070855192,-116.2089939
10471.28548,-2.333513374,-115.7381294
10715.19305,-2.593897018,-115.2710859
10964.78196,-2.852072121,-114.8080993
11220.18454,-3.108103752,-114.3493888
11481.53621,-3.362056021,-113.8951578
11748.97555,-3.613992042,-113.4455945
12022.64435,-3.863973906,-113.0008718
12302.68771,-4.112062644,-112.561148
12589.25412,-4.358318198,-112.1265673
12882.49552,-4.602799395,-111.6972605
13182.56739,-4.845563921,-111.2733448
13489.62883,-5.086668293,-110.8549252
13803.84265,-5.326167842,-110.4420943
14125.37545,-5.564116695,-110.034933
14454.39771,-5.800567756,-109.6335112
14791.08388,-6.035572697,-109.237888
15135.61248,-6.269181944,-108.8481124
15488.16619,-6.501444674,-108.4642239
15848.93192,-6.732408806,-108.0862524
16218.10097,-6.962121003,-107.7142196
16595.86907,-7.190626674,-107.3481387
16982.43652,-7.41796997,-106.9880153
17378.00829,-7.644193798,-106.6338474
17782.7941,-7.869339825,-106.2856265
18197.00859,-8.093448488,-105.9433375
18620.87137,-8.316559007,-105.6069592
19054.60718,-8.538709398,-105.2764651
19498.446,-8.759936488,-104.9518231
19952.62315,-8.980275936,-104.6329965
20417.37945,-9.199762244,-104.3199441
20892.96131,-9.418428785,-104.0126204
21379.6209,-9.636307817,-103.7109762
21877.61624,-9.853430507,-103.4149589
22387.21139,-10.06982695,-103.1245125
22908.67653,-10.28552621,-102.8395784
23442.28815,-10.50055632,-102.5600951
23988.32919,-10.71494431,-102.2859988
24547.08916,-10.92871624,-102.0172237
25118.86432,-11.14189723,-101.7537021
25703.95783,-11.35451147,-101.4953645
26302.67992,-11.56658225,-101.24214
26915.34804,-11.77813201,-100.9939567
27542.28703,-11.9891823,-100.7507412
28183.82931,-12.19975389,-100.5124196
28840.31503,-12.40986672,-100.278917
29512.09227,-12.61953998,-100.050158
30199.5172,-12.82879208,-99.82606699
30902.95433,-13.03764075,-99.60656772
31622.7766,-13.24610296,-99.39158395
32359.36569,-13.45419505,-99.18103936
33113.11215,-13.66193268,-98.97485767
33884.41561,-13.86933086,-98.77296276
34673.68505,-14.07640401,-98.57527875
35481.33892,-14.28316595,-98.3817301
36307.80548,-14.48962991,-98.19224166
37153.52291,-14.69580858,-98.00673879
38018.93963,-14.90171412,-97.82514739
38904.5145,-15.10735815,-97.64739397
39810.71706,-15.31275181,-97.47340573
40738.02778,-15.51790574,-97.30311059
41686.93835,-15.72283014,-97.13643724
42657.95188,-15.92753472,-96.97331518
43651.58322,-16.13202878,-96.81367481
44668.35922,-16.339807,-96.63886635
45708.81896,-16.54410407,-96.48554777
46773.51413,-16.74822533,-96.33549861
47863.00923,-16.9521789,-96.18865287
48977.88194,-17.15597254,-96.04494561
50118.72336,-17.35961365,-95.90431294
51286.1384,-17.56310931,-95.76669205
52480.74602,-17.76646627,-95.63202122
53703.17964,-17.96969098,-95.50023987
54954.08739,-18.17278953,-95.3712886
56234.13252,-18.37576775,-95.24510913
57543.99373,-18.57863115,-95.12164445
58884.36554,-18.78138493,-95.00083873
60255.95861,-18.98403402,-94.88263743
61659.50019,-19.18658301,-94.76698726
63095.73445,-19.38903623,-94.6538363
64565.4229,-19.59139769,-94.54313394
66069.3448,-19.79367108,-94.434831
67608.29754,-19.99176333,-94.34220547
69183.09709,-20.19366134,-94.23886323
70794.57844,-20.39547055,-94.1377878
72443.59601,-20.59719283,-94.03893619
74131.02413,-20.79882966,-93.94226709
75857.7575,-21.00038209,-93.84774099
77624.71166,-21.20185068,-93.75532024
79432.82347,-21.40323552,-93.66496923
81283.05162,-21.60453615,-93.57665449
83176.37711,-21.80575149,-93.49034485
85113.80382,-22.00687982,-93.40601166
87096.359,-22.20791867,-93.32362902
89125.09381,-22.40213222,-93.25756146
91201.08394,-22.60264996,-93.17931029
93325.43008,-22.80304982,-93.10295499
95499.2586,-23.00332467,-93.02848364
97723.7221,-23.20346598,-92.95588896
100000,-23.40346365,-92.88516896
102329.2992,-23.6033058,-92.81632766
104712.8548,-23.80297848,-92.74937604
107151.9305,-24.00246535,-92.68433313
109647.8196,-24.20174732,-92.62122734
112201.8454,-24.41549751,-92.5358969
114815.3621,-24.61501207,-92.47634676
117489.7555,-24.81427653,-92.41889208
120226.4435,-25.01325671,-92.36362031
123026.8771,-25.21191228,-92.3106416
125892.5412,-25.41019559,-92.2600937
128824.9552,-25.60805017,-92.21214822
131825.6739,-25.80540892,-92.16701866
134896.2883,-25.99208446,-92.13854145
138038.4265,-26.18770844,-92.10013959
141253.7545,-26.38252278,-92.06556396
144543.9771,-26.57638756,-92.03533478
147910.8388,-26.76913312,-92.01010983
151356.1248,-26.9605526,-91.99072659
154881.6619,-27.15039211,-91.97826017
158489.3192,-27.32533365,-91.98710935
162181.0097,-27.51037143,-91.99323488
165958.6907,-27.69260468,-92.0119034
169824.3652,-27.87141088,-92.04636008
173780.0829,-28.04599459,-92.10102827
177827.941,-28.2411658,-92.1601059
181970.0859,-28.40514907,-92.27595099
186208.7137,-28.56084041,-92.43928516
190546.0718,-28.70589707,-92.6684993
194984.46,-28.83717562,-92.9914253
199526.2315,-28.95043977,-93.4514319
204173.7945,-29.02360738,-94.12958277
208929.6131,-29.08124769,-95.12014585
213796.209,-29.09868858,-96.63778397
218776.1624,-29.06769972,-99.0537796
223872.1139,-29.01976368,-103.0638048
229086.7653,-28.95508932,-110.1223749
234422.8815,-29.16520303,-123.0960334
239883.2919,-30.708177,-147.3790225
245470.8916,-38.28956499,-192.7809767
251188.6432,-56.65286572,-50.86273258
257039.5783,-33.81967961,-12.44969481
263026.7992,-30.49327531,-48.56769848
269153.4804,-30.30633565,-67.6949391
275422.8703,-30.81510986,-77.50909621
281838.2931,-31.39050441,-82.68378852
288403.1503,-31.906868,-85.54823757
295120.9227,-32.39508029,-87.20305947
301995.172,-32.78756154,-88.21603822
309029.5433,-33.13781048,-88.85569585
316227.766,-33.43134836,-89.2781466
323593.6569,-33.72672036,-89.55806696
331131.1215,-34.00518271,-89.75117663
338844.1561,-34.24209988,-89.89025125
346736.8505,-34.49634033,-89.99038227
354813.3892,-34.74241361,-90.06746513
363078.0548,-35.035314,-90.13116318
371535.2291,-35.27060424,-90.19038772
380189.3963,-35.46797387,-90.24955463
389045.145,-35.68846411,-90.31762818
398107.1706,-35.90042978,-90.4039717
407380.2778,-36.15722401,-90.52943713
416869.3835,-36.34474789,-90.70768186
426579.5188,-36.47311179,-90.98256573
436515.8322,-36.59717755,-91.45424663
446683.5922,-36.61985171,-92.31048412
457088.1896,-36.56759042,-94.07865026
467735.1413,-36.3901342,-98.26835308
478630.0923,-35.94881674,-110.0944198
489778.8194,-37.15474028,-150.5231229
501187.2336,-61.83286955,-297.2315763
512861.384,-36.81842903,-403.5734783
524807.4602,-37.06307201,-435.007589
537031.7964,-38.11080118,-444.1587678
549540.8739,-38.82023283,-447.4043056
562341.3252,-39.29719124,-448.7751897
575439.9373,-39.71856257,-449.4776053
588843.6554,-40.16746724,-449.9402945
602559.5861,-40.44633734,-450.1938284
616595.0019,-40.74996946,-450.4216022
630957.3445,-40.97534734,-450.5963081
645654.229,-41.32791836,-450.9136315
660693.448,-41.55554083,-451.2488064
676082.9754,-41.66543082,-451.7385041
691830.9709,-41.65794605,-452.7634286
700000,-41.60161499,-453.8320496
